Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2015-11-02,Palermo,Empoli,0,1,A,0.0,0.0,D,,16,11,4,5,25,15,7,4,6,3,0,0,1516
2015-11-07,Milan,Atalanta,0,0,D,0.0,0.0,D,,8,15,3,4,15,19,4,6,4,4,0,0,1516
2015-11-07,Verona,Bologna,0,2,A,0.0,2.0,A,,11,10,2,4,15,10,9,4,1,1,0,0,1516
2015-11-08,Empoli,Juventus,1,3,A,1.0,2.0,A,,12,11,4,4,14,23,4,3,2,3,0,0,1516
2015-11-08,Frosinone,Genoa,2,2,D,2.0,1.0,H,,18,10,5,3,16,23,6,5,2,3,0,1,1516
2015-11-08,Napoli,Udinese,1,0,H,0.0,0.0,D,,15,8,5,2,15,10,7,5,3,3,0,0,1516
2015-11-08,Palermo,Chievo,1,0,H,0.0,0.0,D,,14,13,3,3,11,15,10,8,4,3,0,0,1516
2015-11-08,Roma,Lazio,2,0,H,1.0,0.0,H,,14,7,2,2,20,12,2,6,3,4,0,0,1516
2015-11-08,Sampdoria,Fiorentina,0,2,A,0.0,1.0,A,,3,20,2,7,23,10,1,8,3,3,0,0,1516
2015-11-08,Sassuolo,Carpi,1,0,H,1.0,0.0,H,,9,7,4,2,13,21,6,7,4,5,0,0,1516
2015-11-08,Torino,Inter,0,1,A,0.0,1.0,A,,16,7,8,2,12,7,5,2,2,1,0,0,1516
2015-11-21,Bologna,Roma,2,2,D,1.0,0.0,H,,9,14,3,5,22,18,5,5,5,4,0,0,1516
2015-11-21,Juventus,Milan,1,0,H,0.0,0.0,D,,16,9,5,2,15,14,3,1,2,2,0,0,1516
2015-11-22,Atalanta,Torino,0,1,A,0.0,0.0,D,,15,14,1,4,13,22,10,3,2,1,0,0,1516
2015-11-22,Carpi,Chievo,1,2,A,0.0,2.0,A,,19,9,3,3,18,26,9,6,4,3,0,0,1516
2015-11-22,Fiorentina,Empoli,2,2,D,0.0,2.0,A,,18,15,5,4,20,12,6,3,5,3,0,0,1516
2015-11-22,Genoa,Sassuolo,2,1,H,0.0,0.0,D,,14,9,3,4,21,18,6,6,3,0,1,1,1516
2015-11-22,Inter,Frosinone,4,0,H,1.0,0.0,H,,22,11,10,4,15,18,6,7,1,3,0,0,1516
2015-11-22,Lazio,Palermo,1,1,D,0.0,1.0,A,,18,13,3,8,18,18,10,2,3,3,0,0,1516
2015-11-22,Udinese,Sampdoria,1,0,H,1.0,0.0,H,,9,10,4,0,18,14,6,1,3,1,0,1,1516
2015-11-22,Verona,Napoli,0,2,A,0.0,0.0,D,,3,22,3,10,8,9,3,6,3,2,0,0,1516
2015-11-28,Milan,Sampdoria,4,1,H,2.0,0.0,H,,23,10,10,2,18,14,4,2,1,2,0,0,1516
2015-11-28,Torino,Bologna,2,0,H,0.0,0.0,D,,14,3,6,0,8,10,7,2,0,1,0,0,1516
2015-11-29,Chievo,Udinese,2,3,A,1.0,1.0,D,,12,14,6,5,21,17,3,6,5,2,0,0,1516
2015-11-29,Empoli,Lazio,1,0,H,1.0,0.0,H,,5,16,1,5,15,18,3,8,4,0,0,0,1516
2015-11-29,Frosinone,Verona,3,2,H,2.0,0.0,H,,16,16,6,8,24,27,6,4,2,4,0,1,1516
2015-11-29,Genoa,Carpi,1,2,A,1.0,0.0,H,,9,15,3,5,9,19,9,7,0,3,1,0,1516
2015-11-29,Palermo,Juventus,0,3,A,0.0,0.0,D,,11,16,0,4,13,15,1,7,2,3,0,0,1516
2015-11-29,Roma,Atalanta,0,2,A,0.0,1.0,A,,17,4,3,3,23,22,9,3,1,2,1,2,1516
2015-11-30,Napoli,Inter,2,1,H,1.0,0.0,H,,12,11,4,2,8,7,4,5,4,1,0,1,1516
2015-11-30,Sassuolo,Fiorentina,1,1,D,1.0,1.0,D,,16,17,2,4,16,16,7,4,2,1,0,0,1516
2015-12-04,Lazio,Juventus,0,2,A,0.0,2.0,A,,11,7,3,1,18,15,6,1,5,3,0,0,1516
2015-12-05,Inter,Genoa,1,0,H,0.0,0.0,D,,15,4,5,2,13,16,5,3,1,3,1,0,1516
2015-12-05,Torino,Roma,1,1,D,0.0,0.0,D,,11,5,5,3,18,13,2,5,3,4,0,0,1516
2015-12-06,Atalanta,Palermo,3,0,H,2.0,0.0,H,,12,17,4,4,15,20,3,8,1,3,1,0,1516
2015-12-06,Bologna,Napoli,3,2,H,2.0,0.0,H,,11,16,4,7,19,11,4,7,2,0,0,0,1516
2015-12-06,Carpi,Milan,0,0,D,0.0,0.0,D,,11,20,3,7,15,22,2,12,0,2,0,0,1516
2015-12-06,Fiorentina,Udinese,3,0,H,1.0,0.0,H,,14,8,5,0,16,14,7,1,2,5,0,0,1516
2015-12-06,Frosinone,Chievo,0,2,A,0.0,0.0,D,,14,10,3,3,18,21,9,6,3,5,0,1,1516
2015-12-06,Sampdoria,Sassuolo,1,3,A,0.0,3.0,A,,8,16,2,10,19,18,11,6,2,3,0,0,1516
2015-12-06,Verona,Empoli,0,1,A,0.0,0.0,D,,18,11,4,5,18,7,12,0,1,4,0,0,1516
2015-12-12,Genoa,Bologna,0,1,A,0.0,0.0,D,,19,10,4,2,13,19,10,7,0,2,1,1,1516
2015-12-12,Palermo,Frosinone,4,1,H,2.0,1.0,H,,20,15,6,3,18,16,6,4,2,3,0,0,1516
2015-12-12,Udinese,Inter,0,4,A,0.0,2.0,A,,22,13,7,7,12,15,9,2,3,3,0,0,1516
2015-12-13,Chievo,Atalanta,1,0,H,0.0,0.0,D,,15,6,3,2,14,17,5,1,3,2,0,2,1516
2015-12-13,Empoli,Carpi,3,0,H,0.0,0.0,D,,13,14,4,4,7,13,2,4,0,2,0,0,1516
2015-12-13,Juventus,Fiorentina,3,1,H,1.0,1.0,D,,16,6,6,1,17,20,3,1,3,5,0,0,1516
2015-12-13,Milan,Verona,1,1,D,0.0,0.0,D,,17,11,6,2,11,16,9,7,3,6,1,0,1516
2015-12-13,Napoli,Roma,0,0,D,0.0,0.0,D,,12,5,4,0,13,17,7,1,2,3,0,0,1516
2015-12-14,Lazio,Sampdoria,1,1,D,0.0,0.0,D,,14,10,2,4,16,15,7,0,2,4,0,0,1516
2015-12-19,Bologna,Empoli,2,3,A,2.0,2.0,D,,13,18,4,7,17,15,9,6,2,4,0,0,1516
2015-12-20,Atalanta,Napoli,1,3,A,0.0,0.0,D,,16,16,5,5,13,15,7,4,1,1,1,1,1516
2015-12-20,Carpi,Juventus,2,3,A,1.0,2.0,A,,11,10,3,6,16,15,3,3,1,0,0,0,1516
2015-12-20,Fiorentina,Chievo,2,0,H,2.0,0.0,H,,13,6,8,0,19,14,7,2,1,2,0,0,1516
2015-12-20,Frosinone,Milan,2,4,A,1.0,0.0,H,,15,23,5,10,14,11,2,11,5,3,0,0,1516
2015-12-20,Inter,Lazio,1,2,A,0.0,1.0,A,,7,7,1,3,16,25,5,4,1,2,1,1,1516
2015-12-20,Roma,Genoa,2,0,H,1.0,0.0,H,,7,12,3,4,13,5,5,8,3,1,1,0,1516
2015-12-20,Sampdoria,Palermo,2,0,H,0.0,0.0,D,,16,11,6,5,12,25,6,3,2,4,0,0,1516
2015-12-20,Torino,Udinese,0,1,A,0.0,1.0,A,,10,12,1,6,22,16,7,7,2,1,0,1,1516
2015-12-20,Verona,Sassuolo,1,1,D,1.0,1.0,D,,10,16,6,5,15,14,6,8,2,1,0,0,1516
2016-01-05,Genoa,Sampdoria,2,3,A,0.0,2.0,A,,18,11,10,5,18,16,12,5,6,1,0,0,1516
2016-01-06,Chievo,Roma,3,3,D,1.0,2.0,A,,12,14,6,5,12,13,8,2,3,2,0,0,1516
2016-01-06,Empoli,Inter,0,1,A,0.0,1.0,A,,16,14,4,3,9,10,8,5,2,2,0,0,1516
2016-01-06,Juventus,Verona,3,0,H,2.0,0.0,H,,15,7,6,1,17,11,9,3,3,2,0,0,1516
2016-01-06,Lazio,Carpi,0,0,D,0.0,0.0,D,,15,5,0,2,12,9,9,7,2,1,0,0,1516
2016-01-06,Milan,Bologna,0,1,A,0.0,0.0,D,,17,7,4,3,16,12,10,0,6,5,0,0,1516
2016-01-06,Napoli,Torino,2,1,H,2.0,1.0,H,,17,9,8,4,12,21,7,5,2,4,0,0,1516
